"text_entry","spec","spore_type","measure_orig","Dimension_1","Dimension_2","Dimension_3","Mean_Dim1","Mean_Dim2"
"Ascospores variable in shape and size, brown to dark brown, unicellular, ellipsoid-inequilateral, mostly with narrowly rounded ends, 14-17(-21) x 6-8(-9) µm,","Daldinia martinii_91565","Ascospores","14-17(-21) x 6-8(-9)","14-17","6-8",NA,15.5,7
"Ascospores exuded in a cirrhus, ellipsoidal to obovoid with both ends rounded, 0-1 septate and slightly constricted at the septum, 12-18 (mean = 15.2) x 4-7 (mean = 5.9) µm","Gibberella konza_430252","Ascospores","= 5.9)","5.9",NA,NA,5.9,5.9
"ascospores in 2 to 3 months, mostly abortive; conidial heads relatively few (more abundant and larger at lower temperatures) and borne either in coremiform masses or scattered throughout the colony; reverse in shades of orange-maroon; odor lacking. Conidial heads deep green, radiate, compact, variable in size, mostly 100 to 150 µm","Aspergillus medius_10061","ascospores","150","150",NA,NA,150,150
"Ascospores orange-red, ellipsoidal, 5,0-6,0 x 4,5-5,0 µm,","Aspergillus rubrum_115206","Ascospores","5,0-6,0 x 4,5-5,0","5.0-6.0","4.5-5.0",NA,5.5,4.75
"Ascospores broadly ellipsoidal, 6-9-7-10 µm,","Botrytis geotricha_215182","Ascospores","6-9 x 7-10","6-9","7-10",NA,7.5,8.5
"Ascospores greenish yellow to olivaceous brown, obovoid to elliptic, (10-)11-12.5(-14.5) x (3.5-)4-5(-6.5) µm,","Ascospora robertiani_425672","Ascospores","(10-)11-12.5(-14.5) x (3.5-)4-5(-6.5)","11-12.5","4-5",NA,11.75,4.5
"Ascospores elliptical, yellow to pale brown, uniseriate, 3-septate, with a vertical septum usually in the two central cells or in one of them, constricted at the septa, 20-25 x 6-9 µm.","Crivellia papaveracea_124067","Ascospores","20-25 x 6-9","20-25","6-9",NA,22.5,7.5
"Ascospores fusiform, 1-septate, constricted at the septum, cells equal in size, olivaceous-brown, smooth, (13.0-)14.2-15.6(-17.0) x 4.7-6.2(-7.0) µm.
The","Didymosphaerella peltigerae_116926","Ascospores","(13.0-)14.2-15.6(-17.0) x 4.7-6.2(-7.0)","14.2-15.6","4.7-6.2",NA,14.9,5.45
"ascospores growing rather fast and attaining 35 mm diam on cherry decoction agar (CDA), 37 mm on both oatmeal (OA) and malt extract agar (MEA) and 41 mm on potato-dextrose agar (PDA) in 8 days at 20°C in day light, brown or blackish brown when old on CDA, paler and more orange-brown on the other media mentioned, immediately turning deep green with NaOH or KOH. Aerial mycelium very thin or lacking, or in very local rust-brown tufts, composed of single or fasciculate, 2-6(-8.5) µm","Didymosphaerella peltigerae_116926","ascospores","2-6(-8.5)","2-6",NA,NA,4,4
"ascospores frequently aborting. Ascospores arranged irregularly, (9·5-)12,5-16 x 5-6,5 µm,","Isothea rhitismoides_124461","ascospores","(9·5-)12,5-16 x 5-6,5","12.5-16","5-6.5",NA,14.25,5.75
"Ascospores arranged irregularly, (9·5-)12,5-16 x 5-6,5 µm,","Isothea rhitismoides_124461","Ascospores","(9·5-)12,5-16 x 5-6,5","12.5-16","5-6.5",NA,14.25,5.75
"Ascospores 16-20 x 6-8 µm,","Keissleriella sambucina_124493","Ascospores","16-20 x 6-8","16-20","6-8",NA,18,7
"Ascospores one-celled, hyaline, ellipsoidal or ovoidal, 12-17 x 6-7.5 µm.
","Carlia bidwellii_425010","Ascospores","12-17 x 6-7.5","12-17","6-7.5",NA,14.5,6.75
"Ascospores hyaline, non-septate, ovoid to ellipsoid, 12-17 x 6-7,5 µm,","Carlia bidwellii_425010","Ascospores","12-17 x 6-7,5","12-17","6-7.5",NA,14.5,6.75
"Ascospores ellipsoid, medium brown, 13-19 x 5-7 µm,","Microthelia oblitescens_116923","Ascospores","13-19 x 5-7","13-19","5-7",NA,16,6
"Ascospores fusiform, 1-septate, constricted at the septum, cells equal in size, olivaceous-brown, smooth, (13.0-)14.2-15.6(-17.0) x 4.7-6.2(-7.0) µm.
The","Microthelia peltigerae_116927","Ascospores","(13.0-)14.2-15.6(-17.0) x 4.7-6.2(-7.0)","14.2-15.6","4.7-6.2",NA,14.9,5.45
"ascospores growing rather fast and attaining 35 mm diam on cherry decoction agar (CDA), 37 mm on both oatmeal (OA) and malt extract agar (MEA) and 41 mm on potato-dextrose agar (PDA) in 8 days at 20°C in day light, brown or blackish brown when old on CDA, paler and more orange-brown on the other media mentioned, immediately turning deep green with NaOH or KOH. Aerial mycelium very thin or lacking, or in very local rust-brown tufts, composed of single or fasciculate, 2-6(-8.5) µm","Microthelia peltigerae_116927","ascospores","2-6(-8.5)","2-6",NA,NA,4,4
"Ascospores oblivaceous to brown, elliptical to clavate, straight to inequilateral, ends rounded, septate in the middle, above or below, slightly constricted, smooth or finely roughened, with or without a gelatinous sheath, 8-14 x 4-6 µm.
Conidial","Mycosphaerella macularis_118448","Ascospores","8-14 x 4-6","8-14","4-6",NA,11,5
"Ascospores lensshaped, 4.5-7.5 µm,","Neosartorya australensis_376765","Ascospores","4.5-7.5","4.5-7.5",NA,NA,6,6
"Ascospores greenish yellow to olivaceous brown, obovoid to elliptic, (10-)11-12.5(-14.5) x (3.5-)4-5(-6.5) µm,","Munkiella robertiani_425673","Ascospores","(10-)11-12.5(-14.5) x (3.5-)4-5(-6.5)","11-12.5","4-5",NA,11.75,4.5
"Ascospores hyaline by transmitted light, yellowish in mass, unilaterally flattened-elliptical in side view, elliptical in face view, smooth, lacking gelatinous appendages, lacking germ pores, 8.2-10.6 x 3.3-4.5 µm.","Sphaeronaema helvellae_425570","Ascospores","8.2-10.6 x 3.3-4.5","8.2-10.6","3.3-4.5",NA,9.4,3.9
"ascospores grouped in the upper half or third of the ascus. Paraphyses filiform, septate, composed of relatively narrow (5 µm)","Valsa albopruinosa_425659","ascospores","(5","5",NA,NA,5,5
"Ascospores 1-celled, (10-) 11-15(-20) x (3.5-)4(-6.5) µm,","Valsa albopruinosa_425659","Ascospores","(10-) 11-15(-20) x (3.5-)4(-6.5)","11-15","4",NA,13,4
"ascospores irregularly grouped in the upper third of the ascus. Paraphyses sparse, inconspicuous, filiform, septate, about 3 µm","Valsa virescens_425664","ascospores","3","3",NA,NA,3,3
"Ascospores 1-celled, allantoid, straw-coloured, (8-)9-12(-15) x 1.5-2.5(-3) µm.
Substrate:","Valsa virescens_425664","Ascospores","(8-)9-12(-15) x 1.5-2.5(-3)","9-12","1.5-2.5",NA,10.5,2
"ascospores irregularly grouped in the upper third of the ascus. Paraphyses sparse, inconspicuous, filiform, septate, about 3 µm","Diatrype disciformis var. virescens_425665","ascospores","3","3",NA,NA,3,3
"Ascospores 1-celled, allantoid, straw-coloured, (8-)9-12(-15) x 1.5-2.5(-3) µm.
Substrate:","Diatrype disciformis var. virescens_425665","Ascospores","(8-)9-12(-15) x 1.5-2.5(-3)","9-12","1.5-2.5",NA,10.5,2
"Ascospores hyaline to faintly greenish hyaline, oblong to almost obovoid, 18-22 x 6-7 µm,","Didymosphaeria corni_425795","Ascospores","18-22 x 6-7","18-22","6-7",NA,20,6.5
"Ascospores white in mass, broadly ellipsoid, hyaline, 14-16x8-10 µm","Geopyxis varia_425816","Ascospores","14-16x8-10","14-16","8-10",NA,15,9
"Ascospores orange-segment shaped, aseptate, hyaline, invested in a sheath, 5.2-7 x 2.2-3.2 µm","Grosmannia dryocoetidis_426483","Ascospores","5.2-7 x 2.2-3.2","5.2-7","2.2-3.2",NA,6.1,2.7
"ascospores with either a firm-walled hyaline basal cell, the so-called ""primary appendage"" or with long slender mucilaginous structures, the ""secondary"", or with both. 
Ref Winter, G., 1887, Rabenhorst's Kryptogamen-Flora, I (2): 173-174. => Podospora anerina (Rabh.): Asci cylindroidei, longissime stipitati, 2-4-spori, 110-125 µm","Pleurage anserina_35968","ascospores","110-125","110-125",NA,NA,117.5,117.5
"ascospores greenish, ellipsoid, apex rounded or with a short projecting point, base rounded, smooth, single septate with lower cell often twice the length of the upper cell, usually constricted at the septum, uniseriate to overlapping biseriate, 10-15 x 4-7 µm.
Mycelium","Didymosphaeria inaequalis_425204","ascospores","10-15 x 4-7","10-15","4-7",NA,12.5,5.5
"Ascospores monostichous or distichous, olivaceous brown, septate in the upper third, with upper ends tapering and lower ends rounded, 12-15 x 6-8 µm.","Didymosphaeria inaequalis_425204","Ascospores","12-15 x 6-8","12-15","6-8",NA,13.5,7
"Ascospores obovoid to fusiform-clavate, often inequilateral, septate in the lower third, multiguttulate, 13.4-15.7(-16.8) x 4-4.8 µm.","Peziza singularia_425902","Ascospores","13.4-15.7(-16.8) x 4-4.8","13.4-15.7","4-4.8",NA,14.55,4.4
"Ascospores obovoid, hyaline, one-celled, eguttulate, smooth, without sheath, irregularly biseriate, 6-7.5(-8) x 1.4-2 µm.","Psilachnum cassandrae_425844","Ascospores","6-7.5(-8) x 1.4-2","6-7.5","1.4-2",NA,6.75,1.7
"Ascospores 2-celled, ellipsoidal to slightly naviculate, (6-)7-8.5(-10) x 2-3 µm,","Sphaerostilbe lutea_11645","Ascospores","(6-)7-8.5(-10) x 2-3","7-8.5","2-3",NA,7.75,2.5
"Ascospores ellipsoidal, 3.5-4.5 x 2.2-3.5 µm,","Talaromyces dupontii_115155","Ascospores","3.5-4.5 x 2.2-3.5","3.5-4.5","2.2-3.5",NA,4,2.85
"Ascospores globose, 4.5-5.2 µm","Talaromyces rotundus_115174","Ascospores","4.5-5.2","4.5-5.2",NA,NA,4.85,4.85
"Ascospores aseptate, hyaline, oblong-ellipsoidal with rounded ends, sometimes containing small guttules at the ends, biseriate, 3-4 x 1-2 (av. 3 x 1) µm.
","Togninia novae-zealandiae_55323","Ascospores",". 3 x 1)","3","1",NA,3,1
"Ascospores broadly ellipsoidal, 6-9-7-10 µm,","Torula geotricha_215184","Ascospores","6-9 x 7-10","6-9","7-10",NA,7.5,8.5
"Ascospores biseriate, elongate allantoid, thin walled and hyaline, (9-) 11-13 (-15) x 2-1.6 µm,","Valsa parapersoonii_405523","Ascospores","(9-) 11-13 (-15) x 2-1.6","11-13","2-1.6",NA,12,1.8
"Ascospores 8, ovate to ellipsoidal, 18-30 x 12-15 µm.","Podosphaera oxyacanthae subsp. tridactyla_120114","Ascospores","18-30 x 12-15","18-30","12-15",NA,24,13.5
"Ascospores oval, 18-23 x 10-12 µm,","Erysiphe penicillata_405587","Ascospores","18-23 x 10-12","18-23","10-12",NA,20.5,11
"Ascospores allantoid to suballantoid, 4.5-6 x 1.5-2 (mean +- SE = 5.3 +- 0.1 x 1.9 +- 0.1) µm,","Sphaeria rostrata_119532","Ascospores","= 5.3 +- 0.1 x 1.9 +- 0.1)","5.3 +- 0.1","1.9 +- 0.1",NA,5.3,1.9
"Ascospores not seen in Canadian specimens but are reported in European specimens (see notes). Conidia ellipsoid to barrel-shaped, hyaline, catenate, 20-33.6 x 9.6-15.3 µm.","Erysiphe communis f. graminis_405615","Ascospores","20-33.6 x 9.6-15.3","20-33.6","9.6-15.3",NA,26.8,12.45
"Ascospores 8, rarely 4, elliptic subhyaline to pale brown, 20-24 x 10-14 µm,","Erysiphe communis f. graminis_405615","Ascospores","20-24 x 10-14","20-24","10-14",NA,22,12
"Ascospores brown, lemon-shaped, 9-11 x 7-8.5 µm,","Chaetomium globosum_406714","Ascospores","9-11 x 7-8.5","9-11","7-8.5",NA,10,7.75
"Ascospores olive brown, lemon-shaped, 8.8-10.8 x 7.2-8.4 µm,","Chaetomium globosum_406714","Ascospores","8.8-10.8 x 7.2-8.4","8.8-10.8","7.2-8.4",NA,9.8,7.8
"Ascospores 8-10 x 7-8.5 µm,","Chaetomium globosum_406714","Ascospores","8-10 x 7-8.5","8-10","7-8.5",NA,9,7.75
"Ascospores 2 rarely 3, variable in size and shape, 25-45 x 15-25 µm.","Erysiphe guttata_407491","Ascospores","25-45 x 15-25","25-45","15-25",NA,35,20
"Ascospores 8, oval, hyaline, 20-30 x 12-17 µm.","Erysiphe pannosa_407466","Ascospores","20-30 x 12-17","20-30","12-17",NA,25,14.5
"Ascospores filiform, non-septate, hyaline, apex obtusely rounded, tapering to an acute base, without a gelatinous sheath, (22.8-) 28-37(-38.4) x 0.9-1.4(-1.8) µm.","Hysterium sphaeroides_406358","Ascospores","(22.8-) 28-37(-38.4) x 0.9-1.4(-1.8)","28-37","0.9-1.4",NA,32.5,1.15
"Ascospores pale greenish to yellow-brown, obovoid to clavate, 14-17.5 x 5-6 µm,","Mycosphaerella adusta_424748","Ascospores","14-17.5 x 5-6","14-17.5","5-6",NA,15.75,5.5
"Ascospores arranged obliquely uniseriately to biseriately, 13-17 x 7-8 µm,","Rhytisma onobrychis_407477","Ascospores","13-17 x 7-8","13-17","7-8",NA,15,7.5
"Ascospores hyaline, 1-septate, becoming light brown and slightly verrucose, 12-15 x 5-6 µm.","Sphaeria decidua_407301","Ascospores","12-15 x 5-6","12-15","5-6",NA,13.5,5.5
"Ascospores irregularly biseriate,hyaline, ellipsoid or somewhat biconic, guttulate, approximately medianly 1-septate, slightly constricted at septa, 12-14 x 4-5,5 µm.","Mycosphaerella exitialis_425018","Ascospores","12-14 x 4-5,5","12-14","4-5.5",NA,13,4.75
"intervals.
Ascospores usually arranged in two rows, broadly cylindrical, tapering to each end, straight to inequilateral, terete, (64-)78-95(-105) x 18-24 µm,","Naemaspora inquinans_408577","intervals.
Ascospores","(64-)78-95(-105) x 18-24","78-95","18-24",NA,86.5,21
"Ascospores light greenish hyaline to light green, obovoid to ellipsoid, 11-13 x (3.0-) 3.5-4(-4.5) µm,","Mycosphaerella plantaginis_424734","Ascospores","11-13 x (3.0-) 3.5-4(-4.5)","11-13","3.5-4",NA,12,3.75
"Part-ascospores green, warted, monomorphic, both parts globose, distal (3.0-)3.3-3.5(-3.8) x (3.2-)3.3-3.5(-3.7) µm,","Trichoderma candidum_408868","Part-ascospores","(3.0-)3.3-3.5(-3.8) x (3.2-)3.3-3.5(-3.7)","3.3-3.5","3.3-3.5",NA,3.4,3.4
"ascospores mature, 71-99-9-10 µm,","Sphaeria cucurbitula var. flavescens_409782","ascospores","71-99 x 9-10","71-99","9-10",NA,85,9.5
"Ascospores long-filiform, 15-39 septate, hyaline, (32.9-)43.2-64.8(-74.7)-(2.3-)2.7-3.5(-3.7) µm","Sphaeria cucurbitula var. flavescens_409782","Ascospores","(32.9-)43.2-64.8(-74.7) x (2.3-)2.7-3.5(-3.7)","43.2-64.8","2.7-3.5",NA,54,3.1
"Ascospores arranged obliquely uniseriately to biseriately, 13-17 x 7-8 µm,","Xyloma onobrychis_426401","Ascospores","13-17 x 7-8","13-17","7-8",NA,15,7.5
"ascospores greenish yellow, ellipsoid to oblong, symmetrical, apex and base rounded, smooth, single septate with upper cell twice the length of lower cell, slightly constricted at the septum, uniseriate to overlapping biseriate, 12-18 x 4-6.5 µm.
Mycelium","Venturia pirina_415265","ascospores","12-18 x 4-6.5","12-18","4-6.5",NA,15,5.25
"Ascospores monostichous or distichous, septate in the lower third, olivaceous, smooth, oblong, slightly constricted, 12-20 x 4-8 µm.","Venturia pirina_415265","Ascospores","12-20 x 4-8","12-20","4-8",NA,16,6
"Ascospores one-celled, hyaline, ellipsoidal or ovoidal, 12-17 x 6-7.5 µm.
","Phyllachorella bidwellii_425126","Ascospores","12-17 x 6-7.5","12-17","6-7.5",NA,14.5,6.75
"Ascospores hyaline, non-septate, ovoid to ellipsoid, 12-17 x 6-7,5 µm,","Phyllachorella bidwellii_425126","Ascospores","12-17 x 6-7,5","12-17","6-7.5",NA,14.5,6.75
"Ascospores one-celled, hyaline, ellipsoidal or ovoidal, 12-17 x 6-7.5 µm.
","Sphaerella bidwellii_425011","Ascospores","12-17 x 6-7.5","12-17","6-7.5",NA,14.5,6.75
"Ascospores hyaline, non-septate, ovoid to ellipsoid, 12-17 x 6-7,5 µm,","Sphaerella bidwellii_425011","Ascospores","12-17 x 6-7,5","12-17","6-7.5",NA,14.5,6.75
"Ascospores colourless, elliptical, 1-septate in the middle or below and with one cell slightly longer and broader than the other, 9-16 (-18) x 2,5-4,5 µm.","Sphaeria graminicola_425483","Ascospores","9-16 (-18) x 2,5-4,5","9-16","2.5-4.5",NA,12.5,3.5
"Ascospores biseriate or irregularly biseriate, ellipsoid, medianly orslightly unequally 1-septate, upper cell slightly wider than the lower cell, 10-13 x 2,5-3 (-3,5) µm,","Sphaeria mori_424717","Ascospores","10-13 x 2,5-3 (-3,5)","10-13","2.5-3",NA,11.5,2.75
"Part-ascospores hyaline, finely spinulose, dimorphic; distal part subglobose to slightly conical.
Characteristics in culture: Optimum temperature for growth on PDA and SNA 25-30 °C. Colonies grown on PDA with faint concentric rings and poor conidial production after 96 h at 25-30 °C. Colonies grown on SNA producing abundant aerial mycelium, sterile after 96 h. Conidia green (27E7-8), without yellow coloration. No pigment diffusing through the agar, no distinctive odour. Conidia forming slowly on PDA, after 72-96 h at 20 °C, later at higher temperatures. Colonies grown on CMD at 20 °C 
under light filling the Petri plate within 1 wk; conidia forming in scattered pustules in concentric rings; pustules to 1 mm diam, tending to coalesce, dense; conidia also forming well apart from the pustules in the scant aerial mycelium. Conidiophores projecting from the pustules, entirely fertile or sparingly branched along the length, sometimes bearing only one or a few phialides at the tip but otherwise sterile. 
Conidiophores highly intricated within the pustule, a strongly developed main axis not discernable, lateral branches tending to be solitary, paired branches uncommon. Phialides held in cruciate to verticillate whorls of 3 or 4 or arising singly, especially near the tip of the main axis and along the length of 1° branches, straight, lageniform, somewhat swollen in the middle; intercalary phialides present but not common. Conidia ellipsoidal to nearly oblong, smooth. Chlamydospores produced sparingly on CMD, terminal on hyphae, subglobose, (n = 30) (5.5-)6.7-10(-11) µm","Trichoderma caribbaeum_424695","Part-ascospores","= 30) (5.5-)6.7-10(-11)","6.7-10",NA,NA,8.35,8.35
"Ascospores filiform, disarticuling into part-spores; part-spores rect-angular, 4-9 ´ 1-2 µm.","Torrubiella piperis_124625","Ascospores","4-9  x  1-2","4-9","1-2",NA,6.5,1.5
"Ascospores hyaline, one-septate, with septum variously placed in the spore but usually central, fusoid to oval, with tapered apices, (5.5-)6.5-7.5(-8) À 2-2.5(-3) µm","Chrysoporthe cubensis_124635","Ascospores","(5.5-)6.5-7.5(-8) x 2-2.5(-3)","6.5-7.5","2-2.5",NA,7,2.25
"Ascospores hyaline, one-septate with septum variously placed in the spore but usually central, fusoid to oval, with rounded apices, (5.5-)6-7 À (2-)2.5 µm","Chrysoporthe austroafricana_124636","Ascospores","(5.5-)6-7 À (2-)2.5","6-7",NA,NA,6.5,6.5
"Ascospores 2-3-seriate, overlapping, hyaline, guttulate, thick-walled, straight to slightly curved, obovoid with subobtuse ends, medianly or unequally 1-septate, widest in middle of apical cell, or close to the apex of the apical cell, constricted at the septum, tapering towards both ends, but more prominently towards the lower end, (12-)13-15(-17) ´ (3.5-)4-4.5 µm","Mycosphaerella communis_104831","Ascospores","(12-)13-15(-17)  x  (3.5-)4-4.5","13-15","4-4.5",NA,14,4.25
"Ascospores not darkening on MEA, and germinating from both ends, with germ tubes parallel to the long axis of the spore, and distorting prominently upon germination, becoming 7-9 µm","Dissoconium commune_124010","Ascospores","7-9","7-9",NA,NA,8,8
"Ascospores 3-to multiseriate, overlapping, hyaline, guttulate, thin-walled, straight to slightly curved, fusoid-ellipsoid with subobtuse ends, apex frequently acutely rounded, medianly 1-septate, widest in the middle of the apical cell, not constricted at the septum, tapering towards both ends, but more prominently towards the lower end, (9-)10-13(-15) ´ 2.5-3(-3.5) µm","Mycosphaerella madeirae_117148","Ascospores","(9-)10-13(-15)  x  2.5-3(-3.5)","10-13","2.5-3",NA,11.5,2.75
"Ascospores not darkening on MEA, and germinating from both ends, with germ tubes parallel to the long axis of the spore, and with no or slight constriction at the ascospore septum, with ascospores becoming 3-4 µm","Mycosphaerella madeirae_117148","Ascospores","3-4","3-4",NA,NA,3.5,3.5
"ascospores becoming 3-4 µm","Mycosphaerella madeirae_117148","ascospores","3-4","3-4",NA,NA,3.5,3.5
"Ascospores 2-3-seriate, overlapping, hyaline, guttulate, thick-walled, straight, obovoid with obtuse ends, medianly to unequally 1-septate, widest near the apex of the apical cell, not constricted at the septum, tapering towards both ends, but more prominently towards lower end, (10-)12-14(-15) ´ (3-)3-4 µm","Mycosphaerella ohnowa_104851","Ascospores","(10-)12-14(-15)  x  (3-)3-4","12-14","3-4",NA,13,3.5
"Ascospores not darkening on MEA, germinating predominantly from one end, but also from both ends, with germ tubes parallel to the long axis of the spore, and with a constriction at the ascospore septum; ascospores becoming 3.5-5 µm","Mycosphaerella ohnowa_104851","Ascospores","3.5-5","3.5-5",NA,NA,4.25,4.25
"ascospores becoming 3.5-5 µm","Mycosphaerella ohnowa_104851","ascospores","3.5-5","3.5-5",NA,NA,4.25,4.25
"Ascospores 2-3-seriate, overlapping, hyaline, guttulate, thick-walled, straight, obovoid with obtuse ends, unequally 1-septate, widest in the middle of the apical cell, not to slightly constricted at the septum, tapering towards both ends, but more prominently towards the lower end, (11-)13-14(-16) ´ (3.5-)4-4.5 µm","Mycosphaerella readeriellophora_117150","Ascospores","(11-)13-14(-16)  x  (3.5-)4-4.5","13-14","4-4.5",NA,13.5,4.25
"Ascospores not darkening on MEA, germinating predominantly from one end, but also from both ends, with germ tubes parallel to the long axis of the spore, and with a constriction at the ascospore septum; ascospores becoming 4-5 µm","Readeriella readeriellophora_124648","Ascospores","4-5","4-5",NA,NA,4.5,4.5
"ascospores becoming 4-5 µm","Readeriella readeriellophora_124648","ascospores","4-5","4-5",NA,NA,4.5,4.5
"Ascospores 2-3-seriate, overlapping, hyaline, guttulate, thin-walled, straight to slightly curved, fusoid-ellipsoid with subobtuse ends, medianly 1-septate, widest in the middle of the apical cell, not constricted at the septum, tapering towards both ends, but more prominently towards the lower end, (7-)8-10(-11) ´ 3(-3.5) µm.","Mycosphaerella toledana_117145","Ascospores","(7-)8-10(-11) ´ 3(-3.5)","8-10",NA,NA,9,9
"Ascospores becoming pale brown on MEA, germinating from both ends, with multiple germ tubes growing irregular to the long axis of spore, with prominent distortion; ascospores becoming 5-6 µm","Phaeophleospora toledana_115100","Ascospores","5-6","5-6",NA,NA,5.5,5.5
"ascospores becoming 5-6 µm","Phaeophleospora toledana_115100","ascospores","5-6","5-6",NA,NA,5.5,5.5
"Ascospores not darkening on MEA, germinating from both ends, with germ tubes parallel to the long axis of the spore, and with a constriction at the ascospore septum; ascospores becoming 4-5 µm","Passalora zambiae_117144","Ascospores","4-5","4-5",NA,NA,4.5,4.5
"ascospores becoming 4-5 µm","Passalora zambiae_117144","ascospores","4-5","4-5",NA,NA,4.5,4.5
"Ascospores not darkening on MEA, germinating predominantly from both ends, but with an irregular germination pattern; germ tubes varying in width, appearing irregular, and with a prominent constriction at the ascospore septum; ascospores 3.5-5 µm","Readeriella novae-zelandiae_104882","Ascospores","3.5-5","3.5-5",NA,NA,4.25,4.25
"ascospores 3.5-5 µm","Readeriella novae-zelandiae_104882","ascospores","3.5-5","3.5-5",NA,NA,4.25,4.25
"ascospores biseriately arranged in the middle, (57-)60-74(-79)-(12-)14-20(-26) (n = 25), with a short stipe and an inconspicuous flat, refractive ring on the lower end of the thickened apical wall (Fig. 6), usually concealed by ascospore appendages. At maturity, release of ascospores is initiated by the penetration of an appendage through this ring. 
Ascospores (Fig. 7): inequilaterally ellipsoidal, with broadly rounded ends, hyaline at maturity (i.e., when germinable), (1-)2(-3)-septate, with cells of equal length, thick-walled, smooth, (14-)17-23(-24)-(7-)7.5-11(-13) µm","Hapalocystis occidentalis_115010","ascospores","(14-)17-23(-24) x (7-)7.5-11(-13)","17-23","7.5-11",NA,20,9.25
"ascospores is initiated by the penetration of an appendage through this ring. 
Ascospores (Fig. 7): inequilaterally ellipsoidal, with broadly rounded ends, hyaline at maturity (i.e., when germinable), (1-)2(-3)-septate, with cells of equal length, thick-walled, smooth, (14-)17-23(-24)-(7-)7.5-11(-13) µm","Hapalocystis occidentalis_115010","ascospores","(14-)17-23(-24) x (7-)7.5-11(-13)","17-23","7.5-11",NA,20,9.25
"
Ascospores (Fig. 7): inequilaterally ellipsoidal, with broadly rounded ends, hyaline at maturity (i.e., when germinable), (1-)2(-3)-septate, with cells of equal length, thick-walled, smooth, (14-)17-23(-24)-(7-)7.5-11(-13) µm","Hapalocystis occidentalis_115010","
Ascospores","(14-)17-23(-24) x (7-)7.5-11(-13)","17-23","7.5-11",NA,20,9.25
"Ascospores 15.5-20.5 ´ 3-4.5 µm","Emarcea castanopsidicola_124657","Ascospores","15.5-20.5  x  3-4.5","15.5-20.5","3-4.5",NA,18,3.75
"Ascospores (Figs 7, 8) 8/ascus, reddish brown, broadly fusiform, 1-septate, 12-15-4-5 µm,","Munkovalsaria appendiculata_53479","Ascospores","12-15 x 4-5","12-15","4-5",NA,13.5,4.5
"Ascospores fusoid to ovoid, 20-22(-23.5) ´ 7-8 µm","Botryosphaeria eucalypticola_214065","Ascospores","20-22(-23.5)  x  7-8","20-22","7-8",NA,21,7.5
"ascospores = 21.7 ´ 7.6 µm,","Botryosphaeria eucalypticola_214065","ascospores","= 21.7  x  7.6","21.7","7.6",NA,21.7,7.6
"Part-ascospores hyaline, warted, dimorphic, distal part globose to subglobose, (4.0-)4.5-4.7(-45.5)-(3.7-)4.2-4.3(-5.0) µm,","Hypocrea flaviconidia_117287","Part-ascospores","(4.0-)4.5-4.7(-45.5) x (3.7-)4.2-4.3(-5.0)","4.5-4.7","4.2-4.3",NA,4.6,4.25
"Ascospores aggregated in the upper third of the ascus, hyaline, guttulate, fusoid with rounded ends, straight to slightly curved, 1-septate, constricted at the septum, (28-)30-38(-40)-(5-)6(-7) µm","Calonectria asiatica_117140","Ascospores","(28-)30-38(-40)-(5-)6(-7)","30-38",NA,NA,34,34
"Ascospores aggregated in the upper third of the ascus, hyaline, guttulate, fusoid with rounded ends, straight to slightly curved, 1-septate, becoming constricted at the septum, (28-)30-35(-40)-(4-)5(-6) µm","Calonectria colombiensis_117141","Ascospores","(28-)30-35(-40)-(4-)5(-6)","30-35",NA,NA,32.5,32.5
"Ascospores aggregated in the upper third of the ascus, hyaline, guttulate, fusoid with rounded ends, straight to curved, 1-septate, becoming constricted at the septum, (25-)28-35(-40)-(4-)5-6(-7) µm","Calonectria hongkongensis_117135","Ascospores","(25-)28-35(-40) x (4-)5-6(-7)","28-35","5-6",NA,31.5,5.5
"Ascospores divided into two cells of equal size, ellipsoidal to oblong ellipsoidal, somewhat tapering towards the ends, smooth to finely warted, (12-)14-15-16(-18)-(3.5-)4(-4.5) µm","Neonectria macrodidyma_214409","Ascospores","(12-)14-15-16(-18)-(3.5-)4(-4.5)","14-15",NA,NA,14.5,14.5
"Ascospores tri-to multiseriate, overlapping, hyaline, non-guttulate, thin-walled, straight, fusoid-ellipsoidal with obtuse ends, medianly 1-septate, widest in the middle of the apical cell, slightly constricted at the septum, tapering towards both ends, but more prominently towards the lower end, (8-)9-10(-11) ´ (2.5-)3 µm","Mycosphaerella acaciigena_117124","Ascospores","(8-)9-10(-11) ´ (2.5-)3","9-10",NA,NA,9.5,9.5
"Ascospores tri-to multiseriate, overlapping, hyaline, guttulate, thin-walled, straight to slightly curved, fusoid-ellipsoidal with obtuse ends, medianly 1-septate, widest in middle of the apical cell, slightly constricted at the septum, tapering towards both ends, but more prominently towards the lower end, (9-)10-11(-12) ´ (2-)2.5-3 µm","Mycosphaerella thailandica_117126","Ascospores","(9-)10-11(-12)  x  (2-)2.5-3","10-11","2.5-3",NA,10.5,2.75
"ascospores becoming 2.5-3 µm","Pseudocercospora thailandica_123798","ascospores","2.5-3","2.5-3",NA,NA,2.75,2.75
