"species","spore.length","spore.width","spore.shape2","spore.shape","spore.volume","genus","species2","family","order","class","phylum","SporeName"
"Ischnoderma benzoinum","6","1.75","3.428571429","Cylindrical","14.43169125","Ischnoderma","benzoinum","Fomitopsidaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Jaapia ochroleuca","13.5","5","2.7","Fusiform","265.0718801","Jaapia","ochroleuca","Jaapiaceae","Jaapiales","Agaricomycetes","Basidiomycota","Basidiospores"
"Junghuhnia collabens","3.4","1.55","2.193548387","Cylindrical","6.415524898","Junghuhnia","collabens","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Junghuhnia luteoalba","4.6","1.8","2.555555556","Cylindrical","11.70557423","Junghuhnia","luteoalba","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Kirschsteiniothelia cf atra","30","9.5","3.157894737","Ellipsoid","2126.465527","Kirschsteiniothelia","atra","Kirschsteiniotheliaceae","Pleosporales","Dothideomycetes","Ascomycota","Ascospores"
"Kuehneromyces lignicola","6.75","4","1.6875","Ovoid","84.82300165","Kuehneromyces","lignicola","Strophariaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Kuehneromyces mutabilis","6.75","4","1.6875","Ovoid","84.82300165","Kuehneromyces","mutabilis","Strophariaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Kurtia argillacea","7.5","4.5","1.666666667","Ellipsoid","119.2823461","Kurtia","argillacea","Corticiaceae","Corticiales","Agaricomycetes","Basidiomycota","Basidiospores"
"Lachnella sp1.","7.9","3.2","2.46875","Cylindrical","63.53556983","Lachnella","sp1.","Niaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Lachnum corticale","21","3.75","5.6","Cylindrical","231.9378951","Lachnum","corticale","Lasiosphaeriaceae","Sordariales","Sordariomycetes","Ascomycota","Ascospores"
"Lachnum pudibundum","8","2","4","Ellipsoid","25.13274123","Lachnum","pudibundum","Lachnaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Lachnum sp1.","8.45","1.95","4.333333333","Ellipsoid","25.23572656","Lachnum","sp1.","Lachnaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Lachnum sp2.","7.58","2","3.79","Ellipsoid","23.81327231","Lachnum","sp2.","Lachnaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Lachnum virgineum","9","1.85","4.864864865","Ellipsoid","24.19222693","Lachnum","virgineum","Lachnaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Laetinaeria aff uvidula","12.79","6.58","1.943768997","Ellipsoid","434.9228378","Laetinaeria","uvidula","Dermateaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Lasiosphaeria hirsuta/tuberculosa complex","65","6.5","10","Filiform","2156.899706","Lasiosphaeria","hirsuta/tuberculosa","Lasiosphaeriaceae","Sordariales","Sordariomycetes","Ascomycota","Ascospores"
"Lasiosphaeria ovina","45","4","11.25","Filiform","565.4866776","Lasiosphaeria","ovina","Lasiosphaeriaceae","Sordariales","Sordariomycetes","Ascomycota","Ascospores"
"Lasiosphaeria pyramidata","50","4","12.5","Filiform","628.3185307","Lasiosphaeria","pyramidata","Lasiosphaeriaceae","Sordariales","Sordariomycetes","Ascomycota","Ascospores"
"Laxitextum bicolor","4.75","2.5","1.9","Ellipsoid","23.31650798","Laxitextum","bicolor","Hericiaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Lentaria afflata","6.25","3.5","1.785714286","Ellipsoid","60.13204689","Lentaria","afflata","Lentariaceae","Gomphales","Agaricomycetes","Basidiomycota","Basidiospores"
"Lentinellus castoreus","4","3","1.333333333","Ellipsoid","28.27433388","Lentinellus","castoreus","Auriscalpiaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Lentinellus flabelliformis","5.5","3.75","1.466666667","Ellipsoid","60.7456392","Lentinellus","flabelliformis","Auriscalpiaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Lentinellus micheneri","5.5","3.75","1.466666667","Ellipsoid","60.7456392","Lentinellus","micheneri","Auriscalpiaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Lentinellus ursinus","4","3","1.333333333","Ellipsoid","28.27433388","Lentinellus","ursinus","Auriscalpiaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Lentinus substrictus","5.7","2","2.85","Cylindrical","17.90707813","Lentinus","substrictus","Polyporaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Lentomitella cirrhosa","7.5","3.75","2","Ellipsoid","82.83496255","Lentomitella","cirrhosa","Boliniaceae","Boliniales","Sordariomycetes","Ascomycota","Ascospores"
"Lentomitella crinigera","12","5.5","2.181818182","Ellipsoid","285.0995333","Lentomitella","crinigera","Boliniaceae","Boliniales","Sordariomycetes","Ascomycota","Ascospores"
"Lentomitella tomentosa","14.5","6.5","2.230769231","Ellipsoid","481.1545499","Lentomitella","tomentosa","Boliniaceae","Boliniales","Sordariomycetes","Ascomycota","Ascospores"
"Lenzites betulina","5.5","2.5","2.2","Cylindrical","26.99806187","Lenzites","betulina","Polyporaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Leptodontidium trabinellum","10.2","3.8","2.684210526","Ellipsoid","115.6797247","Leptodontidium","trabinellum","Helotiaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Leptoporus mollis","5.45","2.2","2.477272727","Cylindrical","20.71723275","Leptoporus","mollis","Polyporaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Leptosporomyces galzinii","3.5","1.75","2","Ellipsoid","8.418486564","Leptosporomyces","galzinii","Atheliaceae","Atheliales","Agaricomycetes","Basidiomycota","Basidiospores"
"Leptosporomyces septentrionalis","6.25","1.75","3.571428571","Fusiform","15.03301172","Leptosporomyces","septentrionalis","Atheliaceae","Atheliales","Agaricomycetes","Basidiomycota","Basidiospores"
"Leucogyrophana romellii","5","3.25","1.538461538","Ellipsoid","41.4788405","Leucogyrophana","romellii","Hygrophoropsidaceae","Boletales","Agaricomycetes","Basidiomycota","Basidiospores"
"Leucogyrophana sororia","4.25","2.75","1.545454545","Ellipsoid","25.24318785","Leucogyrophana","sororia","Hygrophoropsidaceae","Boletales","Agaricomycetes","Basidiomycota","Basidiospores"
"Leucoscypha leucotricha","32.5","14.5","2.24137931","Ellipsoid","5366.723825","Leucoscypha","leucotricha","Pyronemataceae","Pezizales","Pezizomycetes","Ascomycota","Ascospores"
"Lophiostoma cf quadrinucleatum","24.5","8.3","2.951807229","Ellipsoid","1325.598947","Lophiostoma","quadrinucleatum","Lophiostomataceae","Pleosporales","Dothideomycetes","Ascomycota","Ascospores"
"Lophiostoma compressum","24.3","9.2","2.641304348","Ellipsoid","1615.369243","Lophiostoma","compressum","Lophiostomataceae","Pleosporales","Dothideomycetes","Ascomycota","Ascospores"
"Lophiostoma curtum","17.8","6.6","2.696969697","Ellipsoid","608.9726032","Lophiostoma","curtum","Lophiostomataceae","Pleosporales","Dothideomycetes","Ascomycota","Ascospores"
"Lophiostoma sp1.","22","4.47","4.921700224","Ellipsoid","345.2451676","Lophiostoma","sp1.","Lophiostomataceae","Pleosporales","Dothideomycetes","Ascomycota","Ascospores"
"Lophiotrema boreale","14.2","3.9","3.641025641","Fusiform","169.6318661","Lophiotrema","boreale","Lophiotremataceae","Pleosporales","Dothideomycetes","Ascomycota","Ascospores"
"Lophium mytilinum","160","2.25","71.11111111","Filiform","636.1725124","Lophium","mytilinum","Mytilinidiaceae","Mytilinidiales","Dothideomycetes","Ascomycota","Ascospores"
"Megacollybia platyphylla","8.5","7.25","1.172413793","Globose","350.9011732","Megacollybia","platyphylla","Marasmiaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Melanomma cf fuscidulum","18","4","4.5","Ellipsoid","226.1946711","Melanomma","fuscidulum","Melanommataceae","Pleosporales","Dothideomycetes","Ascomycota","Ascospores"
"Melanomma pulvis-pyrius","16","4.5","3.555555556","Ellipsoid","254.4690049","Melanomma","pulvis-pyrius","Melanommataceae","Pleosporales","Dothideomycetes","Ascomycota","Ascospores"
"Melanomma subdispersum","22.5","7.5","3","Ellipsoid","994.0195505","Melanomma","subdispersum","Melanommataceae","Pleosporales","Dothideomycetes","Ascomycota","Ascospores"
"Melanopsamma pomiformis","15","6.5","2.307692308","Ellipsoid","497.7460861","Melanopsamma","pomiformis","Niessliaceae","Chaetosphaeriales","Sordariomycetes","Ascomycota","Ascospores"
"Melanospora caprina","19.5","12.5","1.56","Fusiform","2393.010029","Melanospora","caprina","Ceratostomaceae","Hypocreales","Sordariomycetes","Ascomycota","Ascospores"
"Menispora cf glauca/caesia","26","4.5","5.777777778","Fusiform","413.512133","Menispora","glauca/caesia","Chaetosphaeriaceae","Chaetosphaeriales","Sordariomycetes","Ascomycota","Ascospores"
"Merismodes anomala","20","8","2.5","Cylindrical","1005.309649","Merismodes","anomala","Niaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Merulius tremellosus","4.25","1.25","3.4","Allantoid","5.215534679","Merulius","tremellosus","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Metulodontia nivea","4.5","3.25","1.384615385","Ellipsoid","37.33095645","Metulodontia","nivea","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Mollisia sp1.","8.5","2.25","3.777777778","Cylindrical","33.79666472","Mollisia","sp1.","Dermateaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Mollisia sp2.","12.4","5.7","2.175438596","Ellipsoid","316.4180705","Mollisia","sp2.","Dermateaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Mollisia sp3.","12.7","3.6","3.527777778","Ellipsoid","129.2702545","Mollisia","sp3.","Dermateaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Mollisia sp4.","6","2","3","Ellipsoid","18.84955592","Mollisia","sp4.","Dermateaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Mucronella calva","5","3","1.666666667","Ellipsoid","35.34291735","Mucronella","calva","Clavariaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Mycena algeriensis","8.5","5.75","1.47826087","Ellipsoid","220.7214276","Mycena","algeriensis","Mycenaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Mycena amicta","8.5","4.75","1.789473684","Cylindrical","150.6246415","Mycena","amicta","Mycenaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Mycena epipterygia","9","6.5","1.384615385","Ellipsoid","298.6476516","Mycena","epipterygia","Mycenaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Mycena galericulata","10.5","7.4","1.418918919","Ovoid","451.588236","Mycena","galericulata","Mycenaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Mycena galopus","11","6","1.833333333","Ellipsoid","311.0176727","Mycena","galopus","Mycenaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Mycena haematopus","8.5","5.75","1.47826087","Ellipsoid","220.7214276","Mycena","haematopus","Mycenaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Mycena laevigata","6.75","4","1.6875","Ellipsoid","84.82300165","Mycena","laevigata","Mycenaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Mycena leptocephala","9.5","5","1.9","Ellipsoid","186.5320638","Mycena","leptocephala","Mycenaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Mycena metata/filopes","9.5","5","1.9","Ellipsoid","186.5320638","Mycena","metata/filopes","Mycenaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Mycena rubromarginata","10","6.5","1.538461538","Ellipsoid","331.830724","Mycena","rubromarginata","Mycenaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Mycena sanguinolenta","8.5","5.25","1.619047619","Ellipsoid","184.0040635","Mycena","sanguinolenta","Mycenaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Mycena silvae-nigrae","11","8","1.375","Cylindrical","552.920307","Mycena","silvae-nigrae","Mycenaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Mycena stipata","10","6.25","1.6","Ellipsoid","306.7961576","Mycena","stipata","Mycenaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Mycena tintinnabulum","4.5","2.5","1.8","Ellipsoid","22.08932335","Mycena","tintinnabulum","Mycenaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Mycena viridimarginata","9","7","1.285714286","Globose","346.3605901","Mycena","viridimarginata","Mycenaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Mycoacia aurea","4.5","1.75","2.571428571","Allantoid","10.82376844","Mycoacia","aurea","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Mycoacia fuscoatra","5.5","2.25","2.444444444","Cylindrical","21.86843011","Mycoacia","fuscoatra","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Mytilinidion mytilinellum","19","3.5","5.428571429","Ellipsoid","182.8014225","Mytilinidion","mytilinellum","Mytilinidiaceae","Mytilinidiales","Dothideomycetes","Ascomycota","Ascospores"
"Myxarium sp1.","8.5","5","1.7","Ellipsoid","166.8971097","Myxarium","sp1.","Exidiaceae","Auriculariales","Agaricomycetes","Basidiomycota","Basidiospores"
"Natantiella ligneola","11.25","3.75","3","Ellipsoid","124.2524438","Natantiella","ligneola","Annulatascaceae","Sordariales","Sordariomycetes","Ascomycota","Ascospores"
"Nectria peziza","12.5","5.5","2.272727273","Ellipsoid","296.9786805","Nectria","peziza","Nectriaceae","Hypocreales","Sordariomycetes","Ascomycota","Ascospores"
"Nemania atropurpurea","10.5","4.8","2.1875","Fusiform","190.0035237","Nemania","atropurpurea","Xylariaceae","Xylariales","Sordariomycetes","Ascomycota","Ascospores"
"Nemania dark sp.","12.3","5.7","2.157894737","Fusiform","313.8663118","Nemania","dark","Xylariaceae","Xylariales","Sordariomycetes","Ascomycota","Ascospores"
"Nemania genea","15.5","5.9","2.627118644","Fusiform","423.7655061","Nemania","genea","Xylariaceae","Xylariales","Sordariomycetes","Ascomycota","Ascospores"
"Nemania serpens","12.5","6.25","2","Ovoid","383.495197","Nemania","serpens","Xylariaceae","Xylariales","Sordariomycetes","Ascomycota","Ascospores"
"Neobulgaria lilacina","10","4.25","2.352941176","Ellipsoid","141.8625433","Neobulgaria","lilacina","Lachnaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Neodasyscypha cerina","6","2.5","2.4","Ellipsoid","29.45243113","Neodasyscypha","cerina","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Niesslia sp.","6.77","1.15","5.886956522","Allantoid","7.031925011","Niesslia","sp.","Niessliaceae","Chaetosphaeriales","Sordariomycetes","Ascomycota","Ascospores"
"Oligoporus alni","5.2","1.2","4.333333333","Allantoid","5.881061448","Oligoporus","alni","Fomitopsidaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Orbilia auricolor","10.5","0.75","14","Fusiform","4.638757903","Orbilia","auricolor","Orbiliaceae","Orbiliales","Orbiliomycetes","Ascomycota","Ascospores"
"Orbilia delicatula","2.27","1","2.27","Allantoid","1.782853831","Orbilia","delicatula","Orbiliaceae","Orbiliales","Orbiliomycetes","Ascomycota","Ascospores"
"Orbilia sp1.","5.75","0.75","7.666666667","Cylindrical","2.540272185","Orbilia","sp1.","Orbiliaceae","Orbiliales","Orbiliomycetes","Ascomycota","Ascospores"
"Orbilia sp2.","8","1","8","Cylindrical","6.283185307","Orbilia","sp2.","Orbiliaceae","Orbiliales","Orbiliomycetes","Ascomycota","Ascospores"
"Orbilia sp3.","4.6","2.2","2.090909091","Ellipsoid","17.48610471","Orbilia","sp3.","Orbiliaceae","Orbiliales","Orbiliomycetes","Ascomycota","Ascospores"
"Orbilia sp4.","4","1.1","3.636363636","Cylindrical","3.801327111","Orbilia","sp4.","Orbiliaceae","Orbiliales","Orbiliomycetes","Ascomycota","Ascospores"
"Orbilia sp5.","7.1","1.2","5.916666667","Cylindrical","8.029910823","Orbilia","sp5.","Orbiliaceae","Orbiliales","Orbiliomycetes","Ascomycota","Ascospores"
"Orbilia sp6.","3.4","0.7","4.857142857","Cylindrical","1.30847334","Orbilia","sp6.","Orbiliaceae","Orbiliales","Orbiliomycetes","Ascomycota","Ascospores"
"Orbilia sp7.","13.7","1.9","7.210526316","Fusiform","38.84343697","Orbilia","sp7.","Orbiliaceae","Orbiliales","Orbiliomycetes","Ascomycota","Ascospores"
"Orbilia sp8.","5.5","0.9","6.111111111","Cylindrical","3.498948818","Orbilia","sp8.","Orbiliaceae","Orbiliales","Orbiliomycetes","Ascomycota","Ascospores"
"Otidea tuomikoskii","10.75","6","1.791666667","Ovoid","303.9490892","Otidea","tuomikoskii","Pyronemataceae","Pezizales","Pezizomycetes","Ascomycota","Ascospores"
"Oxyporus corticola","5.25","3.7","1.418918919","Ellipsoid","56.4485295","Oxyporus","corticola","Schizoporaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Panellus mitis","4.75","1.25","3.8","Allantoid","5.829126994","Panellus","mitis","Mycenaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Panellus serotinus","4.75","1.5","3.166666667","Allantoid","8.393942871","Panellus","serotinus","Mycenaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Panus conchatus","6.25","3","2.083333333","Ellipsoid","44.17864669","Panus","conchatus","Polyporaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Patinellaria sanguinea","8.5","3.25","2.615384615","Ellipsoid","70.51402886","Patinellaria","sanguinea","Helotiaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Paullicorticium pearsonii","7","2.5","2.8","Fusiform","34.36116965","Paullicorticium","pearsonii","Hydnaceae","Cantharellales","Agaricomycetes","Basidiomycota","Basidiospores"
"Paullicorticium seorsum","5","3.75","1.333333333","Ellipsoid","55.22330836","Paullicorticium","seorsum","Hydnaceae","Cantharellales","Agaricomycetes","Basidiomycota","Basidiospores"
"Peniophora incarnata","9","4","2.25","Ellipsoid","113.0973355","Peniophora","incarnata","Peniophoraceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Peniophora laurentii","11","4.5","2.444444444","Ellipsoid","174.9474409","Peniophora","laurentii","Peniophoraceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Peniophora nuda","9","2.75","3.272727273","Allantoid","53.4561625","Peniophora","nuda","Peniophoraceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Peniophora pithya","6.25","2.5","2.5","Allantoid","30.67961576","Peniophora","pithya","Peniophoraceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Peniophora polygonia","11","3.25","3.384615385","Cylindrical","91.25344911","Peniophora","polygonia","Peniophoraceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Peniophora violaceolivida","8.5","2.75","3.090909091","Allantoid","50.48637569","Peniophora","violaceolivida","Peniophoraceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Peniophorella guttuliferum","8.25","3.25","2.538461538","Cylindrical","68.44008683","Peniophorella","guttuliferum","Rickenellaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Peniophorella pallida","8","3","2.666666667","Allantoid","56.54866776","Peniophorella","pallida","Rickenellaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Peniophorella praetermissa","10","4.75","2.105263158","Ellipsoid","177.2054606","Peniophorella","praetermissa","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Peniophorella pubera","8.5","4.25","2","Ellipsoid","120.5831618","Peniophorella","pubera","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Perenniporia subacida","4.8","3.8","1.263157895","Ellipsoid","54.4375175","Perenniporia","subacida","Polyporaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Peziza cf arvernensis","17.25","9.75","1.769230769","Ellipsoid","1287.917998","Peziza","arvenensis","Pezizacea","Pezizales","Pezizomycetes","Ascomycota","Ascospores"
"Pezizella sp1.","10.7","3","3.566666667","Ellipsoid","75.63384314","Pezizella","sp1.","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Pezizella sp2.","7.9","2","3.95","Ellipsoid","24.81858196","Pezizella","sp2.","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Phaeohelotium sp1.","9","2.5","3.6","Ellipsoid","44.17864669","Phaeohelotium","sp1.","Helotiaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Phaeohelotium sp2.","5.5","1.9","2.894736842","Ellipsoid","15.59408053","Phaeohelotium","sp2.","Helotiaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Phaeohelotium sp3.","5.1","1.9","2.684210526","Ellipsoid","14.45996559","Phaeohelotium","sp3.","Helotiaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Phanerochaete calotricha","4","2.25","1.777777778","Ellipsoid","15.90431281","Phanerochaete","calotricha","Phanerochaetaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phanerochaete laevis","5.75","2.75","2.090909091","Ellipsoid","34.15254826","Phanerochaete","laevis","Phanerochaetaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phanerochaete sordida","6","2.75","2.181818182","Ellipsoid","35.63744166","Phanerochaete","sordida","Phanerochaetaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phanerochaete velutina","6","2.75","2.181818182","Ellipsoid","35.63744166","Phanerochaete","velutina","Phanerochaetaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phellinus ferrugineofuscus","4.2","1.45","2.896551724","Cylindrical","6.935458482","Phellinus","ferrugineofuscus","Hymenochaetaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phellinus igniarius coll","6","5.2","1.153846154","Ellipsoid","127.422998","Phellinus","igniarius","Hymenochaetaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phellinus laevigatus","4.65","3.55","1.309859155","Ellipsoid","46.02560865","Phellinus","laevigatus","Hymenochaetaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phellinus lundellii","5.45","4.4","1.238636364","Ellipsoid","82.86893102","Phellinus","lundellii","Hymenochaetaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phellinus nigrolimitatus","5.5","2.25","2.444444444","Ellipsoid","21.86843011","Phellinus","nigrolimitatus","Hymenochaetaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phellinus tremulae","5.35","3.95","1.35443038","Ellipsoid","65.55983542","Phellinus","tremulae","Hymenochaetaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phellinus viticola","6.8","1.8","3.777777778","Allantoid","17.30389234","Phellinus","viticola","Hymenochaetaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phialocephala piceae","9.5","2.25","4.222222222","Ellipsoid","37.77274292","Phialocephala","piceae","Vibrisseaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Phlebia centrifuga","7.5","2.75","2.727272727","Cylindrical","44.54680208","Phlebia","centrifuga","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phlebia femsjoeensis","4.5","2.25","2","Ellipsoid","17.89235191","Phlebia","femsjoeensis","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phlebia lilascens coll","4.25","2.25","1.888888889","Ellipsoid","16.89833236","Phlebia","lilascens","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phlebia livida","5.5","2.25","2.444444444","Ellipsoid","21.86843011","Phlebia","livida","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phlebia radiata","4.5","1.75","2.571428571","Allantoid","10.82376844","Phlebia","radiata","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phlebia rufa","5.5","2.25","2.444444444","Allantoid","21.86843011","Phlebia","rufa","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phlebia segregata","6.5","2.25","2.888888889","Allantoid","25.84450831","Phlebia","segregata","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phlebia serialis","5.5","1.65","3.333333333","Allantoid","11.76035575","Phlebia","serialis","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phlebia subserialis","6.5","2.25","2.888888889","Allantoid","25.84450831","Phlebia","subserialis","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phlebia subulata","4.75","2.75","1.727272727","Ellipsoid","28.21297465","Phlebia","subulata","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phlebia tuberculata","6.75","3","2.25","Ellipsoid","47.71293843","Phlebia","tuberculata","Meruliaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phlebiella christiansenii","6.5","4.25","1.529411765","Ellipsoid","92.21065312","Phlebiella","christiansenii","Xenasmataceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phlebiopsis gigantea","7.25","3.25","2.230769231","Ellipsoid","60.14431873","Phlebiopsis","gigantea","Phanerochaetaceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phloeomana clavata","7.5","6","1.25","Globose","212.0575041","Phloeomana","clavata","Porotheleaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phloeomana hiemalis","7.3","5.3","1.377358491","Ellipsoid","161.0513912","Phloeomana","hiemalis","Porotheleaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Phloeomana speirea","8.25","5","1.65","Ellipsoid","161.9883712","Phloeomana","speirea","Porotheleaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Pholiota flammans","4.5","2.5","1.8","Ellipsoid","22.08932335","Pholiota","flammans","Strophariaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Pholiota scamba","8.5","5.25","1.619047619","Ellipsoid","184.0040635","Pholiota","scamba","Strophariaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Pholiota squarrosa","7","4.25","1.647058824","Ellipsoid","99.30378028","Pholiota","squarrosa","Strophariaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Pholiota tuberculosa","8","4.75","1.684210526","Allantoid","141.7643685","Pholiota","tuberculosa","Strophariaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Piloderma bicolor","3.25","2.5","1.3","Globose","15.95340019","Piloderma","bicolor","Atheliaceae","Atheliales","Agaricomycetes","Basidiomycota","Basidiospores"
"Piloderma byssinum","4.75","3.75","1.266666667","Globose","52.46214295","Piloderma","byssinum","Atheliaceae","Atheliales","Agaricomycetes","Basidiomycota","Basidiospores"
"Piloderma olivaceum","3.25","2.5","1.3","Globose","15.95340019","Piloderma","olivaceum","Atheliaceae","Atheliales","Agaricomycetes","Basidiomycota","Basidiospores"
